,2014,2015,2016,2017
Single,69579590,71086947,71410690,73021932
Joint,55128595,57272012,57201828,57987204
HH,22077498,22134303,21659639,21894095
SS_return,27401498,28087514,28329015,28967603
Dep_return,96916673,96505181,94809260,94708629
INTS,156367939,95881223,96640233,106055367
DIVS,254702232,260252720,254065327,282336042
SCHCI,374659000,391975736,389078638,416010104
SCHCL,57400238,60161435,60996610,69637956
CGNS,705007630,713598090,634341278,859894631
Pension,663223262,689991999,693626543,729187412
SCHEI,846331543,891134646,882933054,973306129
SCHEL,166947674,177896945,176446339,206369393
SS,575126918,605152093,619856114,644989570
UCOMP,33288898,27225383,25420264,23946035
wage1,114320683,112017897,111270085,107376379
wage2,261995646,261659142,253415638,247511878
wage3,381259619,383184602,382875414,382789227
wage4,418567676,428313928,436140082,441282302
wage5,418379915,424369612,426147995,437485582
wage6,916618937,952347137,962308451,1000500360
wage7,840581301,835434509,852517230,870406373
wage8,3433224075,3714896131,3792750634,4090211841
