,ARETS,AWAGE,ATXPY,APOPN,AINTS,ADIVS,ASCHCI,ASCHCL,ACGNS,ASCHEI,ASCHEL,ASOCSEC,APOPSNR,AUCOMP
2014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015,1.01263520726,1.05041589772,1.0520137197,1.0078775362,1.00061443932,1.16627835684,1.0538431218,1.0538431218,1.27807486631,1.00733272227,1.00733272227,1.05084503008,1.03431928635,0.91095890411
2016,1.02859114685,1.09513493273,1.08965442147,1.01611528396,1.00960061444,1.1629675046,1.09554592038,1.09554592038,1.14616755793,1.00622316561,1.00622316561,1.09152105414,1.06870569606,0.712328767122
2017,1.04629534632,1.14569793255,1.1356793837,1.02436431891,1.05015360983,1.18651134273,1.14978320851,1.14978320851,1.27272727273,1.01013073472,1.01013073472,1.1333428817,1.10405507957,0.7100456621
2018,1.06266516803,1.19659525529,1.18755699528,1.03261464284,1.09715821813,1.248436542,1.18856917619,1.18856917619,1.31550802139,1.01206039848,1.01206039848,1.19979948439,1.14106405803,0.69406392694
2019,1.07702967294,1.24257134451,1.23963196363,1.04085507833,1.17565284178,1.30177805028,1.22585731179,1.22585731179,1.31729055258,1.02161223407,1.02161223407,1.28673732455,1.17978213061,0.751141552511
2020,1.08971955764,1.28595308781,1.29208122933,1.04907027054,1.28110599078,1.34396076027,1.26172644856,1.26172644856,1.35115864528,1.03627767861,1.03627767861,1.37883128044,1.22052568971,0.888127853881
2021,1.10259695071,1.33274492498,1.34879748472,1.05724167509,1.40844854071,1.38087063151,1.30342924714,1.30342924714,1.39393939394,1.0577451879,1.0577451879,1.47207103982,1.26055472229,0.988584474887
2022,1.11494182001,1.38420391024,1.40782757823,1.06536164908,1.52150537634,1.41827099939,1.35191170674,1.35191170674,1.44385026738,1.08678662743,1.08678662743,1.57261529648,1.30227494367,1.05251141553
2023,1.12742490463,1.43863168312,1.4685726341,1.07341925029,1.62334869432,1.45689760883,1.4053606622,1.4053606622,1.49732620321,1.12634473443,1.12634473443,1.67974792323,1.34348250601,1.10730593607
2024,1.14004775206,1.49519912274,1.53188332812,1.08140714628,1.71459293395,1.50214592275,1.46251478124,1.46251478124,1.55436720143,1.16937623619,1.16937623619,1.79289601833,1.38372467258,1.15525114155
2025,1.15281192711,1.55409344995,1.59640538444,1.08931229673,1.79662058372,1.5524218271,1.52258573118,1.52258573118,1.61497326203,1.21428916011,1.21428916011,1.90991120023,1.42549685834,1.20547945205
2026,1.16571901211,1.61540827516,1.6659021927,1.09712354931,1.88310291859,1.60772532189,1.58549467875,1.58549467875,1.67914438503,1.26368855227,1.26368855227,2.03279862504,1.46503885727,1.25799086758
2027,1.1787706071,1.67930407339,1.73771964449,1.10482571538,1.97181259601,1.66928264868,1.65132045723,1.65132045723,1.74509803922,1.31439046746,1.31439046746,2.16356344887,1.50196313141,1.30136986301
